0, benchmark, 1
0, biomed, 1
0, candid, 1
0, challeng, 1
0, commonsens, 1
0, complet, 4
0, connect, 2
0, convolut, 2
0, curat, 1
0, dataset, 3
0, deep, 1
0, demonstr, 2
0, dens, 2
0, develop, 1
0, distil, 1
0, effect, 1
0, encycloped, 1
0, entiti, 3
0, exist, 1
0, explor, 1
0, find, 1
0, focus, 1
0, graph, 1
0, guarante, 1
0, improv, 2
0, includ, 1
0, kg, 6
0, kgs, 1
0, knowledg, 3
0, lead, 1
0, method, 1
0, model, 2
0, network, 3
0, outperform, 1
0, perform, 2
0, primarili, 1
0, promis, 1
0, re-rank, 3
0, real, 1
0, realist, 1
0, recent, 1
0, repres, 1
0, represent, 1
0, research, 1
0, robust, 1
0, set, 2
0, sparsiti, 1
0, stage, 1
0, stem, 1
0, student, 1
0, textual, 1
0, this, 1
0, two, 1
0, use, 1
0, usual, 1
0, util, 1
0, we, 4
1, abl, 1
1, accur, 1
1, achiev, 1
1, adopt, 1
1, architectur, 3
1, avail, 1
1, better, 1
1, budget, 2
1, call, 1
1, capabl, 1
1, care, 1
1, chang, 1
1, classif, 2
1, code, 1
1, complex, 1
1, comput, 4
1, context, 1
1, contextu, 1
1, convolut, 1
1, dens, 2
1, design, 2
1, detect, 1
1, differ, 2
1, dynam, 1
1, effect, 2
1, effici, 3
1, encod, 3
1, essenti, 1
1, estim, 1
1, exampl, 1
1, explor, 1
1, featur, 1
1, find, 2
1, fine-grain, 1
1, first, 1
1, flop, 1
1, focus, 1
1, for, 1
1, function, 1
1, given, 2
1, high-resolut, 3
1, hr, 2
1, hr-nas, 7
1, hrnet, 1
1, https, 1
1, ignor, 1
1, imag, 3
1, improv, 1
1, in, 1
1, inform, 1
1, inspir, 1
1, last, 1
1, learn, 2
1, lightweight, 1
1, maintain, 2
1, method, 2
1, multi-branch, 1
1, multipl, 1
1, multiscal, 2
1, nas, 3
1, network, 2
1, neural, 1
1, novel, 1
1, object, 1
1, optim, 1
1, perform, 1
1, pose, 1
1, predict, 2
1, previous, 1
1, propos, 2
1, provid, 1
1, renov, 1
1, represent, 4
1, resolut, 1
1, resourc, 1
1, respect, 1
1, search, 6
1, segment, 2
1, semant, 1
1, small, 1
1, space, 3
1, special, 1
1, squeezena, 1
1, state-of-the-art, 1
1, strategi, 2
1, surpass, 1
1, task, 5
1, this, 1
1, three, 1
1, to, 2
1, trade-off, 1
1, train, 1
1, transform, 1
1, typic, 1
1, various, 1
1, well, 1
1, whose, 1
1, work, 1
2, adversari, 2
2, allow, 1
2, also, 1
2, anim, 4
2, appear, 1
2, assumpt, 1
2, captur, 1
2, chosen, 1
2, code, 3
2, comparison, 1
2, complex, 1
2, condit, 1
2, content, 4
2, contrast, 1
2, correct, 2
2, current, 1
2, definit, 1
2, deriv, 2
2, divers, 3
2, effect, 1
2, ever, 1
2, experi, 1
2, extens, 2
2, face, 2
2, final, 1
2, formal, 1
2, generat, 2
2, guarante, 1
2, idea, 1
2, imag, 2
2, in, 1
2, input, 1
2, learn, 1
2, loss, 2
2, map, 4
2, method, 1
2, much, 1
2, multimod, 1
2, perform, 1
2, plausibl, 1
2, probabl, 1
2, procedur, 1
2, produc, 1
2, qualit, 1
2, quantit, 1
2, random, 1
2, rang, 2
2, repres, 1
2, result, 1
2, show, 3
2, simpl, 1
2, singl, 1
2, sota, 1
2, style, 5
2, support, 1
2, take, 1
2, this, 1
2, train, 1
2, translat, 1
2, under, 1
2, us, 1
2, video, 3
2, we, 2
2, wide, 1
2, without, 1
3, abil, 2
3, addit, 1
3, allow, 1
3, amount, 1
3, approach, 1
3, ask, 1
3, can, 1
3, challeng, 1
3, control, 1
3, data, 1
3, dataset, 1
3, develop, 1
3, domain-specif, 1
3, exampl, 3
3, excel, 1
3, explicit, 1
3, explor, 1
3, extract, 1
3, general, 2
3, generaliz, 1
3, generat, 1
3, high, 1
3, human-read, 1
3, in, 2
3, languag, 2
3, larg, 1
3, learn, 3
3, learnt, 1
3, linguist, 2
3, model, 3
3, neural, 1
3, new, 1
3, olympiad, 1
3, paper, 1
3, pattern, 2
3, phonolog, 1
3, problem, 1
3, program, 4
3, question, 1
3, reason, 2
3, requir, 1
3, rule, 2
3, sample-effici, 1
3, set, 1
3, statist, 1
3, strong, 1
3, struggl, 1
3, synthesi, 2
3, task, 1
3, test, 1
3, train, 1
3, use, 2
3, we, 3
3, well, 1
4, ablat, 1
4, acceler, 11
4, accuraci, 1
4, achiev, 2
4, address, 1
4, aspect, 1
